evaluation,precision,recall,accuracy,f1_score,log_loss,roc_auc,brier_score
noURL,0.9642507345739472,0.9845,0.974,0.9742701632855022,0.11251076798579662,0.9943273749999999,0.023486049999999998
URL_Q=0,0.9972329828444937,0.901,0.94925,0.9466771736275282,0.27907220863051563,0.9807511250000001,0.04934605
URL_Q=100,0.998003992015968,1.0,0.999,0.999000999000999,0.15391123171522936,0.9961535,0.005523075
URL_Q=100_FP,0.473407056345445,0.899,0.4495,0.6202138668506382,15.229762067346917,0.02683875000000001,0.5434192
URL_Q=25,0.998003992015968,1.0,0.999,0.999000999000999,0.9845747400440686,0.9530519999999999,0.028745799999999995
URL_Q=25_FP,0.47299077733860345,0.8975,0.44875,0.6194995685936152,1.6625410779621015,0.35575,0.49774355000000003
URL_Q=50,0.998003992015968,1.0,0.999,0.999000999000999,0.8523169060344997,0.9641053749999998,0.024946299999999994
URL_Q=50_FP,0.47019867549668876,0.8875,0.44375,0.6147186147186147,1.9113081349350847,0.3357515,0.5031861
URL_Q=75,0.998003992015968,1.0,0.999,0.999000999000999,0.32601998575362495,0.9887872499999999,0.010283549999999997
URL_Q=75_FP,0.47229551451187335,0.895,0.4475,0.6183074265975821,4.6857016132067475,0.266675,0.5099806
