,mail_id,label,prob,true_label
0,1209,phishing,95,0
1,1142,phishing,95,0
2,1141,phishing,95,0
3,1204,phishing,95,0
4,4090,phishing,95,0
5,1140,phishing,100,0
6,1503,phishing,95,0
7,832,phishing,100,0
8,4089,phishing,95%,0
9,2125,phishing,95,0
10,2079,phishing,95,0
11,2078,phishing,95,0
12,2095,phishing,95,0
13,2124,phishing,95,0
14,2127,phishing,95,0
15,2114,phishing,100,0
16,2112,phishing,100,0
17,2077,phishing,100,0
18,2104,phishing,99,0
19,2116,phishing,100,0
20,2113,phishing,100,0
21,2100,phishing,100,0
22,2108,phishing,95,0
23,2123,phishing,95,0
24,2111,phishing,95,0
