,mail_id,label,prob,true_label
0,172,phishing,100,1
1,2175,phishing,100,1
2,2174,phishing,95,1
3,527,phishing,99%,1
4,5721,phishing,90,1
5,5738,phishing,95,1
6,5716,phishing,85,1
7,5740,phishing,95,1
8,5734,phishing,95,1
9,5732,phishing,95,1
10,2478,phishing,100,1
11,976,phishing,95,1
12,2769,phishing,99,1
13,2768,phishing,100%,1
14,302,phishing,100%,1
15,301,phishing,100,1
16,442,phishing,100,1
17,120,phishing,100,1
18,5080,phishing,95,1
19,5077,phishing,95,1
20,5083,phishing,95,1
21,5075,phishing,95,1
22,2290,phishing,99,1
23,86,phishing,100,1
24,1965,phishing,100%,1
25,4326,phishing,95,1
26,2566,phishing,100%,1
27,2565,phishing,100,1
28,2564,phishing,100,1
29,17,phishing,95,1
30,4550,phishing,100%,1
31,4547,phishing,95,1
32,1335,phishing,95,1
33,965,legit,10,1
34,2049,phishing,100,1
35,1199,phishing,85,1
36,493,phishing,100%,1
37,1163,phishing,100,1
38,733,phishing,100,1
39,734,phishing,95,1
40,735,phishing,99,1
41,1106,phishing,100%,1
42,1105,phishing,100,1
43,2391,phishing,100,1
44,5170,phishing,95%,1
45,5737,legit,10%,1
46,5727,phishing,95,1
47,1286,phishing,85,1
48,1346,phishing,85,1
49,414,phishing,95,1
