,mail_id,label,prob,true_label
0,4498,phishing,95,1
1,4501,phishing,95,1
2,4502,phishing,95,1
3,1269,phishing,90,1
4,1322,phishing,100,1
5,3228,phishing,100,1
6,3226,phishing,99,1
7,45,phishing,100,1
8,3050,phishing,100,1
9,3049,phishing,85,1
10,3048,phishing,100,1
11,893,phishing,95,1
12,891,phishing,95,1
13,1001,phishing,100,1
14,2108,phishing,100,1
15,5426,phishing,95,1
16,5411,phishing,95,1
17,5410,phishing,85,1
18,5451,phishing,95,1
19,5423,phishing,95,1
20,5419,phishing,95,1
21,5416,phishing,95,1
22,5414,phishing,85,1
23,5444,phishing,95,1
24,5400,phishing,100,1
