,mail_id,label,prob,true_label
0,1118,phishing,99,1
1,3113,phishing,100,1
2,3110,phishing,100,1
3,4696,phishing,95,1
4,4695,phishing,99,1
5,4697,phishing,99%,1
6,2766,phishing,100,1
7,2765,phishing,95,1
8,3311,phishing,100,1
9,1511,phishing,100,1
10,119,phishing,100,1
11,118,phishing,100,1
12,5078,phishing,100,1
13,5072,phishing,95,1
14,1061,phishing,100,1
15,1961,phishing,100,1
16,4282,phishing,100,1
17,4257,phishing,100%,1
18,2561,phishing,100,1
19,2560,phishing,100%,1
20,1286,phishing,100,1
21,1170,phishing,99,1
22,209,phishing,100,1
23,207,phishing,100,1
24,4610,phishing,99,1
25,4607,phishing,99,1
26,1333,phishing,100,1
27,873,phishing,100,1
28,2044,phishing,100,1
29,626,phishing,100,1
30,490,phishing,100%,1
31,1431,phishing,99,1
32,4678,phishing,100%,1
33,5779,phishing,100,1
34,1354,phishing,100,1
35,5119,phishing,99,1
36,5115,phishing,99,1
37,5110,phishing,100,1
38,4309,phishing,99%,1
39,4307,phishing,99,1
