,condition,prob
0,noURL,0.05
1,noURL,0.05
2,noURL,0.05
3,noURL,0.05
4,noURL,0.05
5,noURL,0.05
6,noURL,0.05
7,noURL,0.05
8,noURL,0.05
9,noURL,0.05
10,noURL,0.05
11,noURL,0.05
12,noURL,0.05
13,noURL,0.05
14,noURL,0.05
15,noURL,0.05
16,noURL,0.05
17,noURL,0.1
18,noURL,0.85
19,noURL,0.05
20,noURL,0.05
21,noURL,0.05
22,noURL,0.05
23,noURL,0.05
24,noURL,0.05
25,noURL,0.0
26,noURL,0.05
27,noURL,0.05
28,noURL,0.0
29,noURL,0.0
30,noURL,0.05
31,noURL,0.05
32,noURL,0.05
33,noURL,0.05
34,noURL,0.05
35,noURL,0.0
36,noURL,0.05
37,noURL,0.0
38,noURL,0.05
39,noURL,0.05
40,noURL,0.05
41,noURL,0.1
42,noURL,0.05
43,noURL,0.05
44,noURL,0.05
45,noURL,0.05
46,noURL,0.05
47,noURL,0.05
48,noURL,0.05
49,noURL,0.1
50,noURL,0.05
51,noURL,1.0
52,noURL,0.05
53,noURL,0.05
54,noURL,0.05
55,noURL,0.05
56,noURL,0.05
57,noURL,0.05
58,noURL,0.1
59,noURL,0.05
60,noURL,0.05
61,noURL,0.05
62,noURL,0.05
63,noURL,0.0
64,noURL,0.0
65,noURL,0.05
66,noURL,0.05
67,noURL,0.05
68,noURL,0.05
69,noURL,0.05
70,noURL,0.05
71,noURL,0.0
72,noURL,0.05
73,noURL,0.0
74,noURL,0.05
75,noURL,0.05
76,noURL,0.05
77,noURL,0.05
78,noURL,0.05
79,noURL,0.05
80,noURL,0.1
81,noURL,0.05
82,noURL,0.0
83,noURL,0.0
84,noURL,0.0
85,noURL,0.05
86,noURL,0.0
87,noURL,0.05
88,noURL,0.0
89,noURL,0.05
90,noURL,0.0
91,noURL,0.1
92,noURL,0.05
93,noURL,0.05
94,noURL,0.05
95,noURL,0.05
96,noURL,0.05
97,noURL,0.05
98,noURL,0.0
99,noURL,0.05
100,noURL,0.05
101,noURL,0.05
102,noURL,0.05
103,noURL,0.05
104,noURL,0.05
105,noURL,0.05
106,noURL,0.05
107,noURL,0.05
108,noURL,0.05
109,noURL,0.05
110,noURL,0.05
111,noURL,0.05
112,noURL,0.05
113,noURL,0.05
114,noURL,0.05
115,noURL,0.05
116,noURL,0.05
117,noURL,0.05
118,noURL,0.05
119,noURL,0.05
120,noURL,0.75
121,noURL,0.05
122,noURL,0.1
123,noURL,0.05
124,noURL,0.05
125,noURL,0.05
126,noURL,0.05
127,noURL,0.05
128,noURL,0.05
129,noURL,0.05
130,noURL,0.05
131,noURL,0.05
132,noURL,0.05
133,noURL,0.05
134,noURL,0.05
135,noURL,0.05
136,noURL,0.05
137,noURL,0.05
138,noURL,0.05
139,noURL,0.1
140,noURL,0.1
141,noURL,0.05
142,noURL,0.05
143,noURL,0.05
144,noURL,0.05
145,noURL,0.05
146,noURL,0.05
147,noURL,0.05
148,noURL,0.1
149,noURL,0.05
150,noURL,0.05
151,noURL,0.05
152,noURL,0.05
153,noURL,0.05
154,noURL,0.05
155,noURL,0.1
156,noURL,0.1
157,noURL,0.1
158,noURL,0.1
159,noURL,0.1
160,noURL,0.1
161,noURL,0.05
162,noURL,0.05
163,noURL,0.1
164,noURL,0.05
165,noURL,0.05
166,noURL,0.1
167,noURL,0.1
168,noURL,0.05
169,noURL,0.1
170,noURL,0.1
171,noURL,0.05
172,noURL,0.05
173,noURL,0.05
174,noURL,0.05
175,noURL,0.05
176,noURL,0.1
177,noURL,0.1
178,noURL,0.1
179,noURL,0.1
180,noURL,0.1
181,noURL,0.05
182,noURL,0.05
183,noURL,0.1
184,noURL,0.05
185,noURL,0.05
186,noURL,0.1
187,noURL,0.1
188,noURL,0.1
189,noURL,0.05
190,noURL,0.05
191,noURL,0.85
192,noURL,0.1
193,noURL,0.05
194,noURL,0.05
195,noURL,0.05
196,noURL,0.05
197,noURL,0.05
198,noURL,0.05
199,noURL,0.05
200,noURL,0.05
201,noURL,0.05
202,noURL,0.05
203,noURL,0.05
204,noURL,0.05
205,noURL,0.05
206,noURL,0.05
207,noURL,0.05
208,noURL,0.05
209,noURL,0.05
210,noURL,0.05
211,noURL,0.0
212,noURL,0.05
213,noURL,0.05
214,noURL,0.05
215,noURL,0.05
216,noURL,0.05
217,noURL,0.05
218,noURL,0.05
219,noURL,0.05
220,noURL,0.1
221,noURL,0.05
222,noURL,0.05
223,noURL,0.05
224,noURL,0.05
225,noURL,0.05
226,noURL,0.05
227,noURL,0.05
228,noURL,0.05
229,noURL,0.05
230,noURL,0.05
231,noURL,0.85
232,noURL,0.05
233,noURL,0.05
234,noURL,0.1
235,noURL,0.1
236,noURL,0.05
237,noURL,0.05
238,noURL,0.85
239,noURL,0.05
240,noURL,0.05
241,noURL,0.1
242,noURL,0.1
243,noURL,0.85
244,noURL,0.1
245,noURL,0.1
246,noURL,0.1
247,noURL,0.1
248,noURL,0.05
249,noURL,0.1
250,noURL,0.1
251,noURL,0.1
252,noURL,0.1
253,noURL,0.1
254,noURL,0.1
255,noURL,0.1
256,noURL,0.1
257,noURL,0.1
258,noURL,0.85
259,noURL,0.1
260,noURL,0.1
261,noURL,0.85
262,noURL,0.1
263,noURL,0.1
264,noURL,0.1
265,noURL,0.1
266,noURL,0.1
267,noURL,0.1
268,noURL,0.1
269,noURL,0.1
270,noURL,0.1
271,noURL,0.1
272,noURL,0.1
273,noURL,0.1
274,noURL,0.1
275,noURL,0.1
276,noURL,0.1
277,noURL,0.1
278,noURL,0.1
279,noURL,0.1
