,mail_id,label,prob,true_label
0,1612,1,0.95,0
1,938,1,0.95,0
2,1300,1,0.95,0
3,1297,1,0.95,0
4,1298,1,0.95,0
5,1611,1,0.95,0
6,290,1,0.95,0
7,289,1,0.95,0
8,1610,1,0.95,0
9,272,1,0.95,0
10,1609,1,0.95,0
11,287,1,0.95,0
12,288,1,0.95,0
13,285,1,0.95,0
14,291,1,0.95,0
15,279,1,0.95,0
16,3440,1,0.95,0
17,3435,1,0.95,0
18,3438,1,0.95,0
19,3563,1,0.95,0
20,3437,1,0.95,0
21,2522,1,0.95,0
22,2519,1,0.95,0
23,3052,1,0.95,0
24,2521,1,0.95,0
25,2512,1,0.95,0
26,2647,1,0.95,0
27,2646,1,0.95,0
28,2645,1,0.95,0
29,2643,1,0.95,0
30,2644,1,0.95,0
31,2642,1,0.95,0
32,2664,1,0.95,0
33,2639,1,0.95,0
34,2976,1,0.95,0
35,2637,1,0.95,0
36,3643,1,0.95,0
37,2665,1,0.95,0
38,2657,1,0.95,0
39,3213,1,0.95,0
40,2636,1,0.95,0
41,3400,1,0.95,0
42,3646,1,0.95,0
43,3642,1,0.95,0
44,3778,1,0.95,0
45,2638,1,0.95,0
46,3776,1,0.95,0
47,3775,1,0.95,0
48,3777,1,0.95,0
49,3999,1,0.95,0
50,3243,1,1.0,0
51,2866,1,0.95,0
52,3109,1,0.95,0
53,2861,1,0.95,0
54,3100,1,0.95,0
55,2859,1,0.95,0
56,3103,1,0.95,0
57,2860,1,0.95,0
58,3488,1,0.95,0
59,3098,1,0.95,0
60,2855,1,0.95,0
61,2857,1,0.95,0
62,2853,1,0.95,0
63,2858,1,0.95,0
64,2845,1,0.95,0
65,2854,1,0.95,0
66,2856,1,0.95,0
67,2851,1,0.95,0
68,2850,1,0.95,0
69,2852,1,0.95,0
70,2849,1,0.95,0
71,2847,1,0.95,0
72,2846,1,0.95,0
73,2844,1,0.95,0
74,2848,1,0.95,0
75,2843,1,0.95,0
76,2842,1,0.95,0
77,2841,1,0.95,0
78,2840,1,0.95,0
79,2839,1,0.95,0
80,4022,1,0.95,0
81,2838,1,0.95,0
82,2837,1,0.95,0
83,2835,1,0.95,0
84,2836,1,0.95,0
85,2862,1,0.95,0
86,2833,1,0.95,0
87,2832,1,0.95,0
88,2829,1,0.95,0
89,2828,1,0.95,0
90,2830,1,0.95,0
91,4019,1,0.95,0
92,3486,1,0.95,0
93,2827,1,0.95,0
94,1745,1,0.95,0
