,mail_id,label,prob,true_label
0,1612,legit,5,0
1,938,legit,0%,0
2,1300,legit,5,0
3,1297,legit,5,0
4,1298,legit,5%,0
5,1611,legit,5,0
6,290,legit,5,0
7,289,legit,5,0
8,1610,legit,5,0
9,272,legit,1,0
10,1609,legit,5,0
11,287,legit,5,0
12,288,legit,5,0
13,285,legit,5,0
14,291,legit,5%,0
15,279,legit,5%,0
16,3440,legit,5,0
17,3435,legit,5%,0
18,3438,legit,10,0
19,3563,legit,5%,0
20,3437,legit,5,0
21,2522,legit,5,0
22,2519,legit,5,0
23,3052,legit,5,0
24,2521,legit,5,0
25,2512,legit,0%,0
26,2647,legit,5,0
27,2646,legit,1,0
28,2645,legit,5,0
29,2643,legit,1,0
30,2644,legit,0,0
31,2642,legit,1,0
32,2664,legit,5,0
33,2639,legit,5,0
34,2976,legit,5,0
35,2637,legit,1,0
36,3643,legit,1%,0
37,2665,legit,1,0
38,2657,legit,5,0
39,3213,legit,5%,0
40,2636,legit,5,0
41,3400,legit,5,0
42,3646,legit,5,0
43,3642,legit,5,0
44,3778,legit,5%,0
45,2638,legit,5,0
46,3776,legit,5%,0
47,3775,legit,5,0
48,3777,legit,0%,0
49,3999,legit,5%,0
50,3243,legit,5,0
51,2866,legit,5,0
52,3109,legit,5,0
53,2861,legit,5,0
54,3100,legit,5,0
55,2859,legit,5,0
56,3103,legit,5%,0
57,2860,legit,5,0
58,3488,legit,5,0
59,3098,legit,5%,0
60,2855,legit,1,0
61,2857,legit,5,0
62,2853,legit,5%,0
63,2858,legit,5,0
64,2845,legit,1,0
65,2854,legit,5,0
66,2856,legit,5,0
67,2851,legit,5,0
68,2850,legit,5,0
69,2852,legit,0%,0
70,2849,legit,5,0
71,2847,legit,5,0
72,2846,legit,5,0
73,2844,legit,1,0
74,2848,legit,5,0
75,2843,legit,5%,0
76,2842,legit,5,0
77,2841,legit,5,0
78,2840,legit,5,0
79,2839,legit,5,0
80,4022,legit,5%,0
81,2838,legit,0,0
82,2837,legit,1,0
83,2835,legit,1,0
84,2836,legit,1,0
85,2862,legit,5,0
86,2833,legit,5,0
87,2832,legit,5,0
88,2829,legit,0%,0
89,2828,legit,5,0
90,2830,legit,0%,0
91,4019,legit,5%,0
92,3486,legit,5,0
93,2827,legit,5,0
94,1745,legit,5,0
95,548,legit,5,0
96,547,legit,5,0
97,546,legit,5,0
98,1103,legit,5%,0
99,1102,legit,5,0
100,1100,legit,5,0
101,993,legit,5,0
102,986,legit,5,0
103,544,legit,5%,0
104,991,legit,5,0
105,990,legit,5,0
106,981,legit,5,0
107,989,legit,5,0
108,985,legit,5,0
109,1578,legit,5,0
110,987,legit,5,0
111,983,legit,5%,0
112,988,legit,5,0
113,1449,legit,5,0
114,539,legit,5,0
115,1777,legit,5,0
116,1776,legit,5,0
117,984,legit,5,0
118,840,legit,5,0
119,842,legit,5,0
120,841,legit,5,0
121,838,legit,0%,0
122,837,legit,5,0
123,4054,legit,5,0
124,1208,legit,5,0
125,1206,legit,5,0
126,1207,legit,5%,0
127,1205,legit,5,0
128,833,legit,5,0
129,834,legit,5,0
130,1203,legit,5,0
131,286,legit,5,0
132,3993,legit,5%,0
133,276,legit,5,0
134,1169,legit,5,0
135,268,legit,5%,0
136,1279,legit,5,0
137,293,legit,5,0
138,294,legit,5,0
139,292,legit,5,0
140,161,legit,5,0
141,160,legit,5,0
142,159,legit,5,0
143,278,legit,5,0
144,274,legit,5,0
145,150,legit,5,0
146,158,legit,5,0
147,157,legit,5,0
148,156,legit,5,0
149,155,legit,5,0
150,153,legit,5,0
151,1168,legit,5,0
152,135,legit,5,0
153,1278,legit,5,0
154,1152,legit,5,0
155,165,legit,5%,0
156,146,legit,5,0
157,148,legit,5,0
158,147,legit,5,0
159,2340,legit,5,0
160,145,legit,5,0
161,2338,legit,5,0
162,2330,legit,5,0
163,2337,legit,5,0
164,2344,legit,5,0
165,2345,legit,5,0
166,144,legit,5,0
167,143,legit,5,0
168,2339,legit,5,0
169,2328,legit,5,0
170,2336,legit,5,0
171,2334,legit,5%,0
172,142,legit,5,0
173,2331,legit,5,0
174,2333,legit,5,0
175,2341,legit,5,0
176,2322,legit,5,0
177,2332,legit,5,0
178,2329,legit,5,0
179,2326,legit,5,0
180,141,legit,5,0
181,2343,legit,5,0
182,2323,legit,5,0
183,140,legit,5,0
184,2335,legit,5,0
185,2327,legit,5,0
186,138,legit,5,0
187,2321,legit,5,0
188,139,legit,5,0
189,2342,legit,5,0
190,2325,legit,5,0
191,137,legit,10%,0
192,2320,legit,5,0
193,2324,legit,5%,0
194,136,legit,5,0
195,129,legit,5%,0
196,128,legit,5,0
197,1151,legit,5,0
198,3241,legit,5,0
199,3236,legit,5,0
200,3239,legit,5,0
201,3238,legit,5,0
202,3237,legit,5,0
203,3806,legit,5,0
204,2744,legit,5,0
205,2743,legit,5,0
206,3807,legit,5,0
