,mail_id,label,prob,true_label,outcome
0,1612,0,5,0,True
1,938,0,5,0,True
2,1300,0,5,0,True
3,1297,0,5,0,True
4,1297,0,5,0,True
5,1298,0,0.05,0,True
6,1611,0,5,0,True
7,290,0,5,0,True
8,289,0,5,0,True
9,1610,0,5,0,True
10,272,0,5,0,True
11,1609,0,5,0,True
12,287,0,5,0,True
13,288,0,5,0,True
14,285,0,5,0,True
15,285,0,5,0,True
16,285,0,5,0,True
17,291,0,5,0,True
18,279,0,5,0,True
19,3440,0,5,0,True
20,3435,0,0.10,0,True
21,3438,1,85,0,False
22,3563,0,5,0,True
23,3437,0,5,0,True
24,2522,0,5,0,True
25,2522,0,5,0,True
26,2519,0,0.05,0,True
27,3052,0,0.05,0,True
28,2521,0,5,0,True
29,2521,0,5,0,True
30,2512,0,0,0,True
31,2512,0,0,0,True
32,2647,0,5,0,True
33,2646,0,0.05,0,True
34,2646,0,0.05,0,True
35,2645,0,0.0,0,True
36,2643,0,0,0,True
37,2644,0,5,0,True
38,2642,0,5,0,True
39,2642,0,5,0,True
40,2664,0,0.05,0,True
41,2639,0,5,0,True
42,2976,0,5,0,True
43,2976,0,5,0,True
44,2637,0,0,0,True
45,3643,0,5,0,True
46,2665,0,0,0,True
47,2657,0,5,0,True
48,3213,0,5,0,True
49,3213,0,5,0,True
50,2636,0,5,0,True
51,3400,0,0.10,0,True
52,3646,0,5,0,True
53,3642,0,0.05,0,True
54,3778,0,0.05,0,True
55,2638,0,5,0,True
56,3776,0,5,0,True
57,3775,0,5,0,True
58,3777,0,0.05,0,True
59,3999,0,0.10,0,True
60,1356,0,5,0,True
61,962,0,0.05,0,True
62,962,0,0.05,0,True
63,1353,0,0.05,0,True
64,1376,0,5,0,True
65,1376,0,5,0,True
66,957,0,0.05,0,True
67,957,0,0.05,0,True
68,955,0,5,0,True
69,955,0,5,0,True
70,1371,0,5,0,True
71,1371,0,5,0,True
72,224,0,0.10,0,True
73,1373,0,5,0,True
74,1345,0,5,0,True
75,1345,0,5,0,True
76,1372,0,5,0,True
77,1372,0,5,0,True
78,1370,0,0.05,0,True
79,223,0,5,0,True
80,1362,0,5,0,True
81,1362,0,5,0,True
82,1362,0,5,0,True
83,1361,0,0.05,0,True
84,1339,0,5,0,True
85,1339,0,5,0,True
86,1357,0,0.05,0,True
87,1369,0,0.05,0,True
88,1369,0,0.05,0,True
89,1337,0,5,0,True
90,1337,0,5,0,True
91,1366,0,0.05,0,True
92,1366,0,0.05,0,True
93,344,0,5,0,True
94,1335,0,5,0,True
95,1335,0,5,0,True
96,1365,0,5,0,True
97,1365,0,5,0,True
98,954,0,5,0,True
99,1364,0,5,0,True
100,3243,0,5,0,True
101,2866,0,1,0,True
102,3109,0,5,0,True
103,2861,0,0.05,0,True
104,2861,0,0.05,0,True
105,3100,0,5,0,True
106,3100,0,5,0,True
107,2859,0,0.05,0,True
108,3103,0,5,0,True
109,2860,0,5,0,True
110,3488,0,0.10,0,True
111,3098,0,0.05,0,True
112,2855,0,5,0,True
113,2857,0,0.05,0,True
114,2857,0,0.05,0,True
115,2853,0,5,0,True
116,2853,0,5,0,True
117,2858,0,0,0,True
118,2858,0,0,0,True
119,2845,0,0,0,True
120,2854,0,5,0,True
121,2854,0,5,0,True
122,2856,0,5,0,True
123,2851,0,5,0,True
124,2850,0,5,0,True
125,2852,0,5,0,True
126,2852,0,5,0,True
127,2849,0,0.05,0,True
128,2847,0,0,0,True
129,2846,0,5,0,True
130,2844,0,0,0,True
131,2848,0,0.05,0,True
132,2843,0,5,0,True
133,2843,0,5,0,True
134,2842,0,0.05,0,True
135,2842,0,0.05,0,True
136,2841,0,0.05,0,True
137,2840,0,5,0,True
138,2839,0,5,0,True
139,4022,0,0.10,0,True
140,2838,0,5,0,True
141,2837,0,5,0,True
142,2835,0,0,0,True
143,2836,0,0.0,0,True
144,2862,0,5,0,True
145,2833,0,5,0,True
146,2832,0,5,0,True
147,2829,0,0.0,0,True
148,2829,0,0.0,0,True
149,2828,0,0.05,0,True
150,2830,0,0.0,0,True
151,4019,0,0.10,0,True
152,3486,0,5,0,True
153,2827,0,5,0,True
154,1745,0,5,0,True
155,548,0,5,0,True
156,547,0,5,0,True
157,547,0,5,0,True
158,546,0,5,0,True
159,1103,0,0,0,True
160,1102,0,5,0,True
161,1100,0,5,0,True
162,993,0,5,0,True
163,986,0,0.05,0,True
164,544,0,5,0,True
165,991,0,5,0,True
166,990,0,0.05,0,True
167,981,0,5,0,True
168,989,0,5,0,True
169,989,0,5,0,True
170,985,0,5,0,True
171,985,0,5,0,True
172,1578,0,5,0,True
173,1578,0,5,0,True
174,987,0,0.05,0,True
175,983,0,5,0,True
176,988,0,5,0,True
177,1449,0,5,0,True
178,539,0,5,0,True
179,539,0,5,0,True
180,1777,0,5,0,True
181,1777,0,5,0,True
182,1776,0,0.05,0,True
183,984,0,5,0,True
184,840,0,0.05,0,True
185,842,0,5,0,True
